question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0006,578,LR1,2025-08-24 21:36:39.008123+00,24,,Can be answered,Single,"In the Combined zoning of 130th/145th, which zoning cateogry shares its border with the area labeled NC2-55. Provide the unit code exactly as shown on the map.",Border,,LR1,3
q_0008,22,13TH AVE S; S ALBRO PL,2025-08-13 18:58:34.807475+00,1,,Can be answered,Single,"Within 'Commercial & Residential Zone Areas' of Seattle's Georgetown neighborhood, which streets does the Anchor Location lie on?",Intersect,,13TH AVE S; S ALBRO PL,3
q_0008,190,S ALBRO PL; 13TH AV S,2025-08-21 19:30:32.302555+00,2,,Can be answered,Single,"Within the 'Commercial & Residential Zone Areas' of Seattle's Georgetown neighborhood, which two streets does the Anchor Location lie on?",Intersect,,13TH AVE S; S ALBRO PL,3
q_0008,588,13TH AV S; S ALBRO PL,2025-08-24 22:22:49.048282+00,24,,Can be answered,Single,"Within the 'Commercial & Residential Zone Areas' of Seattle's Georgetown neighborhood, which two streets does the Anchor Location lie on?",Intersect,,13TH AVE S; S ALBRO PL,3
q_0010,26,Community Center,2025-08-14 17:38:00.498083+00,1,yes,Can be answered,Multi,Which Seattle Parks and Recreation features (as given in the legend) is located closest to the 'Marina' near Elliot Bay in 2016?,Distance,,Community Center,3
q_0010,192,Community Center,2025-08-21 19:33:34.722187+00,2,yes,Can be answered,Multi,Which Seattle Parks and Recreation features (as given in the legend) is located closest to the 'Marina' near Elliot Bay in 2016?,Distance,,Community Center,3
q_0010,659,Community Center,2025-08-25 05:57:56.30012+00,24,yes,Can be answered,Multi,Which Seattle Parks and Recreation features (as given in the legend) is located closest to the 'Marina' near Elliot Bay in 2016?,Distance,,Community Center,3
q_0011,27,Other; Wholesale Customer,2025-08-14 17:39:52.592148+00,1,,Can be answered,Single,"Every region in Seattle Public Utilities Water Service Area is classified under one of the five Service Area categories. Within the Service Area Boundary, which Service Area categories share a boundary with the Cedar River Watershed.",Border,,Wholesale Customer; Other,3
q_0011,195,Wholesale Customer; Other,2025-08-21 19:37:18.323767+00,2,,Can be answered,Single,"Every region in the Seattle Public Utilities Water Service Area is classified under one of the five Service Area categories. Within the Service Area Boundary, which Service Area categories share a boundary with the Cedar River Watershed.",Border,,Wholesale Customer; Other,3
q_0011,663,Wholesale Customer; Other,2025-08-25 06:16:55.542822+00,24,,Can be answered,Single,"Every region in the Seattle Public Utilities Water Service Area is classified under one of the five Service Area categories. Within the Service Area Boundary, which Service Area categories share a boundary with the Cedar River Watershed.",Border,,Wholesale Customer; Other,3
q_0012,28,Bitter Lake Village,2025-08-14 17:40:13.322611+00,1,,Can be answered,Single,"In Seattle, which Urban Village 'Hub' is classified as 'Village with High Risk of Displacement and Low Access to Opportunity'?",Within,,Bitter Lake Village,3
q_0012,197,Bitter Lake Village,2025-08-21 19:39:02.635688+00,2,,Can be answered,Single,"In Seattle, which Urban Village 'Hub' is classified as 'Village with High Risk of Displacement and Low Access to Opportunity'?",Within,,Bitter Lake Village,3
q_0012,664,Bitter Lake Village,2025-08-25 06:17:54.324816+00,24,,Can be answered,Single,"In Seattle, which Urban Village 'Hub' is classified as 'Village with High Risk of Displacement and Low Access to Opportunity'?",Within,,Bitter Lake Village,3
q_0013,29,Georgetown,2025-08-14 17:40:39.53429+00,1,,Can be answered,Single,"Within the City of Seattle, which 'Industrial Lands Subareas' share a boundary with areas designated as 'UGAs'?",Border,,Georgetown,3
q_0013,198,Georgetown,2025-08-21 19:40:01.529497+00,2,,Can be answered,Single,"Within the City of Seattle, which 'Industrial Lands Subareas' share a boundary with areas designated as 'UGAs'?",Border,,Georgetown,3
q_0013,665,Georgetown,2025-08-25 06:19:02.915483+00,24,,Can be answered,Single,"Within the City of Seattle, which 'Industrial Lands Subareas' share a boundary with areas designated as 'UGAs'?",Border,,Georgetown,3
q_0014,30,7,2025-08-14 17:41:13.945146+00,1,,Can be answered,Single,"Every 'Ballard/Interbay/Northend Study Corridor' is associated with a unique number. Within the Ballard-Interbay MIC, which 'Ballard/Interbay/Northend Study Corridor' number corresponds to the line where 'Interbay Davus' and 'Interbay Smith Cove' Industrial Lands Subareas intersect?",Intersect,,7,3
q_0014,199,7,2025-08-21 19:43:09.773909+00,2,,Can be answered,Single,"Every 'Ballard/Interbay/Northend Study Corridor' is associated with a unique number. Within the Ballard-Interbay MIC, which corridor number corresponds to the line where the 'Interbay Davus' and the 'Interbay Smith Cove' Industrial Lands Subareas intersect?",Intersect,,7,3
q_0014,668,7,2025-08-25 06:20:49.427167+00,24,,Can be answered,Single,"Every 'Ballard/Interbay/Northend Study Corridor' is associated with a unique number. Within the Ballard-Interbay MIC, which corridor number corresponds to the line where the 'Interbay Davus' and the 'Interbay Smith Cove' Industrial Lands Subareas intersect?",Intersect,,7,3
q_0017,33,South Park #2,2025-08-14 17:42:49.794567+00,1,,Can be answered,Single,What is the name of the 'Project-Specific Air Quality Monitoring Location' furthest from any Manufacturing Industrial Centers boundary?,Distance,,South Park #2,3
q_0017,267,South Park #2,2025-08-21 22:01:23.070309+00,2,,Can be answered,Single,What is the name of the 'Project-Specific Air Quality Monitoring Location' that is farthest from any Manufacturing Industrial Centers boundary?,Distance,,South Park #2,3
q_0017,674,South Park #2,2025-08-25 06:42:04.637027+00,24,,Can be answered,Single,What is the name of the 'Project-Specific Air Quality Monitoring Location' that is farthest from any Manufacturing Industrial Centers boundary?,Distance,,South Park #2,3
q_0018,34,1,2025-08-14 17:43:23.18281+00,1,,Can be answered,Single,Identify the area within the 0.25 Mile Buffer from Ballard-Interbay MIC where the 'Abandoned landfill' overlaps with the '1000' methane buffer'. How many 'Toxics Cleanup' points are located within this area?,Within,,1,3
q_0018,268,1,2025-08-21 22:02:43.433914+00,2,,Can be answered,Single,"Within the 0.25-mile buffer of the Ballard–Interbay MIC, identify the area where the 'Abandoned Landfill' overlaps with the '1000' methane buffer. How many 'Toxics Cleanup' points are located within this area?",Within,,1,3
q_0018,676,1,2025-08-25 06:46:39.130573+00,24,,Can be answered,Single,"Within the 0.25-mile buffer of the Ballard–Interbay MIC, identify the area where the 'Abandoned Landfill' overlaps with the '1000' methane buffer. How many 'Toxics Cleanup' points are located within this area?",Within,,1,3
q_0020,36,SoDo Stadium,2025-08-14 17:44:40.556541+00,1,no,Can be answered,Multi,Identify the Noise-sensitive Area with the smallest area size. In which Industrial Lands Subareas is this area located within?,Within,,SoDo Stadium,3
q_0020,270,SoDo Stadium,2025-08-21 22:15:10.414649+00,2,no,Can be answered,Multi,Identify the 'Noise-sensitive Area' with the smallest area. In which Industrial Lands Subareas is it located within?,Within,,SoDo Stadium,3
q_0020,679,SoDo Stadium,2025-08-25 06:56:33.418251+00,24,,Can be answered,Single,Identify the 'Noise-sensitive Area' with the smallest area. In which Industrial Lands Subareas is it located within?,Within,,SoDo Stadium,3
q_0021,37,West Duwamish Greenbelt,2025-08-14 17:45:10.156493+00,1,,Can be answered,Single,What is the name of the 'High Sensitivity Locations' located closest to the Georgetown Industrial Lands Subareas?,Distance,,West Duwamish Greenbelt,3
q_0021,271,West Duwamish Greenbelt,2025-08-21 22:26:46.996995+00,2,,Can be answered,Single,What is the name of the 'High Sensitivity Locations' closest to the Georgetown Industrial Lands Subareas?,Distance,,West Duwamish Greenbelt,3
q_0021,680,West Duwamish Greenbelt,2025-08-25 06:58:03.839909+00,24,,Can be answered,Single,What is the name of the 'High Sensitivity Locations' closest to the Georgetown Industrial Lands Subareas?,Distance,,West Duwamish Greenbelt,3
q_0023,39,Kirkland,2025-08-14 17:45:52.21311+00,1,,Can be answered,Single,Which is the northernmost Settlements located along the shoreline of Lake Washington in 1902?,Border,,Kirkland,3
q_0023,273,Kirkland,2025-08-21 22:31:40.433143+00,2,,Can be answered,Single,Which is the northernmost 'Settlements' located along the shoreline of Lake Washington in 1902?,Border,,Kirkland,3
q_0023,682,Kirkland,2025-08-25 07:02:38.716463+00,24,,Can be answered,Single,Which is the northernmost 'Settlements' located along the shoreline of Lake Washington in 1902?,Border,,Kirkland,3
q_0025,275,D,2025-08-21 22:33:28.820439+00,2,,Can be answered,Single,Identify all 'Screenline's that intersect the SoDo Stadium Industrial Landas Subareas. Which of these is closest to a 'Ferry' line?,Distance,,D,3
q_0025,684,D,2025-08-25 07:11:48.985063+00,24,,Can be answered,Single,Identify all 'Screenline's that intersect the SoDo Stadium Industrial Landas Subareas. Which of these is closest to a 'Ferry' line?,Distance,,D,3
q_0025,42,D,2025-08-14 17:47:03.873582+00,1,,Can be answered,Single,Identify all screenlines that intersect the SoDo Stadium Industrial Landas Subareas. Which of these is nearest to a Ferry line?,Distance,,D,3
q_0026,301,Washington Ship Canal,2025-08-21 23:32:10.885644+00,2,,Can be answered,Single,Which 'National Register Districts' overlap with both the 'Ballard' and 'Interbay Dravus' Industrial Lands Subareas within the Ballard-Interbay MIC?,Within,,Washington Ship Canal,3
q_0026,685,Washington Ship Canal,2025-08-25 07:14:25.948874+00,24,,Can be answered,Single,Which 'National Register Districts' overlap with both the 'Ballard' and 'Interbay Dravus' Industrial Lands Subareas within the Ballard-Interbay MIC?,Within,,Washington Ship Canal,3
q_0026,43,Washington Ship Canal,2025-08-14 17:48:04.92559+00,1,,Can be answered,Single,Which National Register Districts overlap with both the Ballard and Interbay Dravus Industrial Lands Subareas within the Ballard-Interbay MIC?,Within,,Washington Ship Canal,3
q_0028,304,5,2025-08-21 23:34:53.90183+00,2,,Can be answered,Single,Identify the segments of the 'Bicycle/Pedestrian Multi-Use Trail' along the Pudget Sound shorline in the City of Seattle. How many 'Public Boat Ramps' are located along these segments?,Intersect,,5,3
q_0028,687,5,2025-08-25 07:20:11.970569+00,24,,Can be answered,Single,Identify the segments of the 'Bicycle/Pedestrian Multi-Use Trail' along the Pudget Sound shorline in the City of Seattle. How many 'Public Boat Ramps' are located along these segments?,Intersect,,5,3
q_0028,45,5,2025-08-14 17:48:57.18312+00,1,,Can be answered,Single,Identify the segments of 'Bicycle/Pedestrian Multi-Use Trail' along the Pudget Sound shorline in the City of Seattle. How many 'Public Boat Ramps' are located along these segments?,Intersect,,5,3
q_0029,305,Battalion 7,2025-08-21 23:39:16.120391+00,2,,Can be answered,Single,Which Fire Battalions in the City of Seattle have no hospitals within their boundaries? Provide the answer in the format 'Battalion #'.,Within,,Battalion 7,3
q_0029,688,Battalion 7,2025-08-25 07:23:02.313334+00,24,,Can be answered,Single,Which Fire Battalions in the City of Seattle have no hospitals within their boundaries? Provide the answer in the format 'Battalion #'.,Within,,Battalion 7,3
q_0029,46,Battalion 7,2025-08-14 17:49:25.857773+00,1,,Can be answered,Single,Which Fire Battalions in the City of Seattle do not contain any hospitals within their boundaries. Answer in form Battalion #.,Within,,Battalion 7,3
q_0031,308,Robert Eagle Staff; Eckstein,2025-08-21 23:56:12.039864+00,2,,Map doesn't contain information to answer the question,Single,Seattle Public Schools classifies every 'Elementary Attendance Area' into one of 12 categories. Which categories contain the 'Highly Capable Cohort Site'?,Within,The question can be answered. However the question is asking for one category while the answer has two,Robert Eagle Staff; Eckstein,3
q_0031,690,Robert Eagle Staff; Eckstein,2025-08-25 07:33:12.973705+00,24,,Can be answered,Single,Seattle Public Schools classifies every 'Elementary Attendance Area' into one of 12 categories. Which categories contain the 'Highly Capable Cohort Site'?,Within,,Robert Eagle Staff; Eckstein,3
q_0031,48,Robert Eagle Staff; Eckstein,2025-08-14 17:50:09.726482+00,1,,Can be answered,Single,Seattle Public Schools classifies every 'Elementary Attendance Area' into 12 categories. Which categories contain the 'Highly Capable Cohort Site'?,Within,,Robert Eagle Staff; Eckstein,3
q_0032,309,6,2025-08-21 23:57:16.919784+00,2,,Can be answered,Single,How many 'King County CSO' points lie on the boundary of the 'Georgetown' Industrial Lands Subareas within the Duwamish MIC?,Border,,6,3
q_0032,691,6,2025-08-25 07:34:26.059574+00,24,,Can be answered,Single,How many 'King County CSO' points lie on the boundary of the 'Georgetown' Industrial Lands Subareas within the Duwamish MIC?,Border,,6,3
q_0032,49,6,2025-08-14 17:50:32.993328+00,1,,Can be answered,Single,How many 'King County CSO' points lies on the boundary of the 'Georgetown' Industrial Lands Subareas within the Duwamish MIC?,Border,,6,3
q_0033,310,5,2025-08-21 23:58:37.084288+00,2,,Can be answered,Single,"In the Yesler Terrace Redevelopment, how many buildings are located within the boundary of 'The Green Loop'. (All buildings are associated with a Building Key.)",Orientation,,5,3
q_0033,692,5,2025-08-25 07:35:22.197953+00,24,,Can be answered,Single,"In the Yesler Terrace Redevelopment, how many buildings are located within the boundary of 'The Green Loop'. (All buildings are associated with a Building Key.)",Orientation,,5,3
q_0033,50,5,2025-08-14 17:50:58.848059+00,1,,Can be answered,Single,"In the Yesler Terrace Redevelopment, how many buildings are within 'The Green Loop' boundary. (All buildings are associated with a Building Key)",Orientation,,5,3
q_0070,136,2,2025-08-21 18:06:13.711607+00,11,,Can be answered,Single,Identify the southern portion of the Alternative Route labled 'Sub-option 4.2' in the legend. How many ‘Settlements’ does this route crosses through? Do not include any settlements that are touched by the route.,Intersect,,2,3
q_0070,427,2,2025-08-22 22:27:53.450155+00,4,,Can be answered,Single,Identify the southern portion of the Alternative Route labeled 'Sub-option 4.2' in the legend. How many 'Settlements' does this route crosses through? Do not include any settlements that are touched by the route.,Intersect,,2,3
q_0070,586,2,2025-08-24 22:20:53.429395+00,3,,Can be answered,Single,Identify the southern portion of the Alternative Route labeled 'Sub-option 4.2' in the legend. How many 'Settlements' does this route crosses through? Do not include any settlements that are touched by the route.,Intersect,,2,3
q_0074,145,Blackwater [Munster],2025-08-21 18:16:37.300278+00,11,yes,Can be answered,Multi,"Identify the westernmost '>40,000 tonnes p.a.' Municipal Landfill point. For the area in which this point is located, which 'Rivers Draining in Excess of 2,000 km^2' feature shares its boundary? Provide the name exactly as labeled.",Border,,Blackwater [Munster],3
q_0074,429,Blackwater [Munster],2025-08-22 22:29:58.383971+00,4,yes,Can be answered,Multi,"Identify the westernmost '>40,000 tonnes p.a.' Municipal Landfill point. For the area in which this point is located, which 'Rivers Draining in Excess of 2,000 km^2' feature shares its boundary? Provide the name exactly as labeled.",Border,,Blackwater [Munster],3
q_0074,587,Blackwater [Munster],2025-08-24 22:22:38.315937+00,3,yes,Can be answered,Multi,"Identify the westernmost '>40,000 tonnes p.a.' Municipal Landfill point. For the area in which this point is located, which 'Rivers Draining in Excess of 2,000 km^2' feature shares its boundary? Provide the name exactly as labeled.",Border,,Blackwater [Munster],3
q_0075,148,"IAS, Waste; Animal waste",2025-08-21 18:17:51.322189+00,11,,Can be answered,Single,Identify the 'Wetland' adjacent to the 'Soupape Marsh' area. What are the names of the 'Trial Sites' located on the boundary of this Wetland?,Border,,"IAS, Waste; Animal waste",3
q_0075,277,"IAS, Waste; Animal waste",2025-08-21 22:41:56.180449+00,5,,Can be answered,Single,Identify the 'Wetland' adjacent to the 'Soupape Marsh' area. What are the names of the 'Trial Sites' located on the boundary of this Wetland?,Border,,"IAS, Waste; Animal waste",3
q_0075,542,"IAS, Waste; Animal waste",2025-08-24 19:55:47.846156+00,6,,Can be answered,Single,Identify the 'Wetland' adjacent to the 'Soupape Marsh' area. What are the names of the 'Trial Sites' located on the boundary of this Wetland?,Border,,"IAS, Waste; Animal waste",3
q_0077,153,0-2000,2025-08-21 18:24:04.774615+00,11,yes,Can be answered,Multi,"Sri Lanka is divided into multiple districts (e.g., Ampara). Identify the district that contains the highest number of 'Landslides occurred within May, 2003'. What is the dominant 'Elevation-FEET' range of that district? Answer with the maximum elevation range value.",Equal,,0-2000,3
q_0077,312,0-2000,2025-08-22 01:42:28.722881+00,9,yes,Can be answered,Multi,"Sri Lanka is divided into multiple districts (e.g., Ampara). Identify the district that contains the highest number of 'Landslides occurred within May, 2003'. What is the dominant 'Elevation-FEET' range of that district?",Equal,,0-2000,3
q_0077,1047,0-2000,2025-08-28 03:36:03.572321+00,10,,Can be answered,Multi,"Sri Lanka is divided into multiple districts (e.g., Ampara). Identify the district that contains the highest number of 'Landslides occurred within May, 2003'. What is the dominant 'Elevation-FEET' range of that district?",Equal,,0-2000,3
q_0079,159,Dundalk,2025-08-21 18:28:09.793957+00,11,yes,Can be answered,Multi,"According to Ordnance Survey Ireland in 2019, identify the largest 'Designated WFD Shellfish Areas'. What is the name of the 'Large Towns' located closest to it?",Distance,,Dundalk,3
q_0079,278,Dundalk,2025-08-21 22:43:43.197974+00,5,yes,Can be answered,Multi,"According to Ordnance Survey Ireland in 2019, identify the largest 'Designated WFD Shellfish Areas'. What is the name of the 'Large Towns' located closest to it?",Distance,,Dundalk,3
q_0079,547,Dundalk,2025-08-24 19:58:38.814774+00,6,yes,Can be answered,Multi,"According to Ordnance Survey Ireland in 2019, identify the largest 'Designated WFD Shellfish Areas'. What is the name of the 'Large Towns' located closest to it?",Distance,,Dundalk,3
q_0080,84,2,2025-08-21 07:04:44.716828+00,8,yes,Can be answered,Multi,Identify the 'PHASE 1B' CST phasing line of Downtown Singapore. How many 'SUBJECT TO DETAILED PLANNING' areas does this line intersect with?,Intersect,,2,3
q_0080,161,2,2025-08-21 18:30:57.728572+00,11,yes,Can be answered,Multi,Identify the 'PHASE 1B' CST phasing line of Downtown Singapore. How many 'SUBJECT TO DETAILED PLANNING' areas does this line intersect with?,Intersect,,2,3
q_0080,725,2,2025-08-25 19:50:58.30351+00,7,yes,Can be answered,Multi,Identify the 'PHASE 1B' CST phasing line of Downtown Singapore. How many 'SUBJECT TO DETAILED PLANNING' areas does this line intersect with?,Intersect,,2,3
q_0082,170,3,2025-08-21 19:07:57.018532+00,11,,Can be answered,Single,Every 'Zhetygen-scatter' point is associated with a number. Which 'Zhetygen-scatter' point is located closest to the 'Zhetygen Proposed Barrier' line. Give just the number.,Distance,,3,3
q_0082,432,3,2025-08-22 22:34:48.894081+00,4,,Can be answered,Single,Every 'Zhetygen-scatter' point is associated with a number. Which 'Zhetygen-scatter' point is located closest to the 'Zhetygen Proposed Barrier' line. Give just the number.,Distance,,3,3
q_0082,592,3,2025-08-24 22:27:42.875013+00,3,,Can be answered,Single,Every 'Zhetygen-scatter' point is associated with a number. Which 'Zhetygen-scatter' point is located closest to the 'Zhetygen Proposed Barrier' line. Give just the number.,Distance,,3,3
q_0083,171,Vegetation,2025-08-21 19:09:45.447392+00,11,,Can be answered,Single,"Within the '100 m Radius Study Areas' of Km 67/3, Km 67/20, and Km 67/16–18, identify all 'Sensitive Features' point. Among these points, identify the one located in a different 'Landuse/Landcover Class' from the others. What is the 'Landuse/Landcover Class' of this point?",Within,,Vegetation,3
q_0083,279,Vegetation,2025-08-21 22:45:18.932674+00,5,,Can be answered,Single,"Within the '100 m Radius Study Areas' of Km 67/3, Km 67/20, and Km 67/16-18, identify all 'Sensitive Features' point. Among these points, identify the one located in a different 'Landuse/Landcover Class' from the others. What is the 'Landuse/Landcover Class' of this point?",Within,,Vegetation,3
q_0083,548,Vegetation,2025-08-24 20:01:30.477115+00,6,,Can be answered,Single,"Within the '100 m Radius Study Areas' of Km 67/3, Km 67/20, and Km 67/16-18, identify all 'Sensitive Features' point. Among these points, identify the one located in a different 'Landuse/Landcover Class' from the others. What is the 'Landuse/Landcover Class' of this point?",Within,,Vegetation,3
q_0084,85,1,2025-08-21 07:05:26.210878+00,8,yes,Can be answered,Multi,Île Aurore Nouvelle consists of five rectangular sub-regions associated with a number. Which rectangular region has the largest 'Unmapped Benthic Habitat (1-8m depth)' area? Give just the number associated with the region.,Equal,,1,3
q_0084,172,1,2025-08-21 19:11:30.009866+00,11,yes,Can be answered,Multi,Île Aurore Nouvelle consists of five rectangular sub-regions associated with a number. Which rectangular region has the largest 'Unmapped Benthic Habitat (1-8m depth)' area? Give just the number associated with the region.,Equal,,1,3
q_0084,726,1,2025-08-25 20:07:28.458828+00,7,yes,Can be answered,Multi,Île Aurore Nouvelle consists of five rectangular sub-regions associated with a number. Which rectangular region has the largest 'Unmapped Benthic Habitat (1-8m depth)' area? Give just the number associated with the region.,Equal,,1,3
q_0085,173,South West,2025-08-21 19:12:05.370641+00,11,,Can be answered,Single,"In the Fisherman's Cove / H Resort map, one of the 'Other bird species – Flight paths' arrows originates from the sea area. What is the orientation of this arrow?",Orientation,,South West,3
q_0085,314,South West,2025-08-22 02:00:54.685891+00,9,,Can be answered,Single,"In the Fisherman's Cove / H Resort map, one of the 'Other bird species - Flight paths' arrows originates from the sea area. What is the orientation of this arrow?",Orientation,,South West,3
q_0085,1049,South West,2025-08-28 03:38:33.552035+00,10,,Can be answered,Single,"In the Fisherman's Cove / H Resort map, one of the 'Other bird species - Flight paths' arrows originates from the sea area. What is the orientation of this arrow?",Orientation,,South West,3
q_0086,175,Extension Damnak Ampil; Svay Donkaev,2025-08-21 19:13:42.219058+00,11,yes,Can be answered,Multi,Identify the 'National Road' that crosses the 'Ou Ta Paong' area. Which two 'Irrigation Schemes' does this road serve as a border? Provide the names without the word 'Area'.,Border,,Svay Donkaev; Extension Dmnak Ampil,3
q_0086,436,Svay Donkaev; Extension Damnak Ampil,2025-08-22 22:40:25.235316+00,4,no,Can be answered,Multi,Identify the 'National Road' that crosses the 'Ou Ta Paong' area. Which two 'Irrigation Schemes' does this road serve as a border? Provide the names without the word 'Area'.,Border,,Svay Donkaev; Extension Dmnak Ampil,3
q_0086,593,Svay Donkaev; Extension Demnak Ampil,2025-08-24 22:30:18.149903+00,3,yes,Can be answered,Multi,Identify the 'National Road' that crosses the 'Ou Ta Paong' area. Which two 'Irrigation Schemes' does this road serve as a border? Provide the names without the word 'Area'.,Border,,Svay Donkaev; Extension Dmnak Ampil,3
q_0088,86,3,2025-08-21 07:06:30.889654+00,8,,Can be answered,Single,How many times does the line labeled 'Existing Railway Infrastructure' cross the 'Other Country's Boundary'? Do not include cases where the railway runs along or touches the border without crossing.,Intersect,,3,3
q_0088,179,3,2025-08-21 19:16:54.609302+00,11,,Can be answered,Single,How many times does the line labeled ‘Existing Railway Infrastructure’ cross the 'Other Country's Boundary'? Do not include cases where the railway runs along or touches the border without crossing.,Intersect,,3,3
q_0088,727,3,2025-08-25 20:07:54.830257+00,7,,Can be answered,Single,How many times does the line labeled 'Existing Railway Infrastructure' cross the 'Other Country's Boundary'? Do not include cases where the railway runs along or touches the border without crossing.,Intersect,,3,3
q_0089,182,President Shopping Centre/Hotel,2025-08-21 19:19:19.362516+00,11,,Can be answered,Single,"In the Concept Plan of the Historic District of Little India of Singapore, identify the unnamed ‘CAR PARK’ point. What is the name of the farthest named ‘CAR PARK’ from this point?",Distance,,President Shopping Centre/Hotel,3
q_0089,315,President Shopping Centre/Hotel,2025-08-22 02:02:36.517498+00,9,,Can be answered,Single,"In the Concept Plan of the Historic District of Little India of Singapore, identify the unnamed 'CAR PARK' point. What is the name of the farthest named 'CAR PARK' from this point?",Distance,,President Shopping Centre/Hotel,3
q_0089,1050,President Shopping Centre/Hotel,2025-08-28 03:39:45.84256+00,10,,Can be answered,Single,"In the Concept Plan of the Historic District of Little India of Singapore, identify the unnamed 'CAR PARK' point. What is the name of the farthest named 'CAR PARK' from this point?",Distance,,President Shopping Centre/Hotel,3
