question,question_text,Form
Q16,What is the dominant geology of the Yaramoko Mining Lease?,Form 2
Q17,Which vein zone within the Sonoro concession area is located closest to the mining claim that contains the Cerro Prieto Mine?,Form 2
Q18,What is the shortest straight-line distance between the Sudbury Mining Claim S 470253 and the nearest freehold property?,Form 2
Q19,The Lekcin claim block that contains the Swede showing partially shares a border with the claim block of which tenure?,Form 2
Q20,What is the position of Coronation N in relation to Trimbles in Hyde-Macraes Shear Zone,Form 2
Q21,What is the position of the New 2B2 Pegmatite relative to Pegmatite #2 within the Raleigh Lake Project claim boundary?,Form 2
Q22,How many diamond drill holes (DDH) were completed by SRG Mining within soil-covered areas of the Lola Graphite Project?,Form 2
Q23,Identify the Federally Managed Mining Leases in Indin Lake Gold Property. These areas corresponds to which labeled areas. Give just the years. The labels are currently in form DATE NAME.,Form 2
Q24,How many Asanko tenement blocks does the Haul Road intersect?,Form 2
Q25,What is the position of Stream 3 catch basin in relation to stream catch 2 basin?,Form 2
Q26,Which Trailbreaker claim block within the Atsutla Gold Project contains site verification sample 612358?,Form 2
Q27,What is the shortest distance between the largest follow-up area within the NHK property and the property's boundary?,Form 2
Q28,Which claim block(s) of the UEX Christie Lake Project are crossed by the power line?,Form 2
Q29,What is the total length of the border shared by the Denovo - Edgecreek block and the adjacent Pat - Argus - JM block?,Form 2
Q30,Which 2023 Resource Pit Crest of Los Reyes consist of the Metallurgical Test Drill Hole that is located farthest South?,Form 2
