question_ref,id,answer,timestamp,user_id,necessary,validity,map_count,question_text,spatial_relationship,noinfo_reason,expected_answer,count
q_0087,549,13,2025-08-24 20:03:26.062224+00,6,yes,Can be answered,Multi,"In the New Construction Plan, each building is labeled with a number. Even if multiple buildings share the same number, each are considered as different buildings. How many buildings are within the 'Story Hotel Under Construction' area in Phase 2/3 Construction?",Within,,12,2
q_0091,187,Riparian Woodland,2025-08-21 19:25:53.546856+00,11,yes,Can be answered,Multi,Identify the 'Mixed Woodland' region in the 'Fisherman’s Cove / H Resort' area. Which legend label does this area correspond to in the 'H Resort' area?,Equal,,Riparian Woodland,2
q_0091,281,Shrub,2025-08-21 22:48:41.52229+00,5,yes,Can be answered,Multi,Identify the 'Mixed Woodland' region in the 'Fisherman's Cove / H Resort' area. Which legend label does this area correspond to in the 'H Resort' area?,Equal,,Riparian Woodland,2
q_0091,550,Riparian woodland,2025-08-24 20:06:06.318588+00,6,yes,Can be answered,Multi,Identify the 'Mixed Woodland' region in the 'Fisherman's Cove / H Resort' area. Which legend label does this area correspond to in the 'H Resort' area?,Equal,,Riparian Woodland,2
q_0092,87,Not Flood Prone,2025-08-21 07:07:47.52055+00,8,yes,Can be answered,Multi,Every 'Tower' point within the project location proposed by EQMS is associated with a code in the form 'TT-{NUMBER}'. Which 'Flood Prone Zone' is the tower point labeled 'TT-1/1' located?,Within,,Not Flood Prone,2
q_0092,201,Not Flood Prone,2025-08-21 19:44:33.978213+00,11,yes,Can be answered,Multi,Every 'Tower' point within the project location proposed by EQMS is associated with a code in the form 'TT-{NUMBER}'. Which 'Flood Prone Zone' is the tower point labeled 'TT-1/1' located?,Within,,Not Flood Prone,2
q_0092,365,,2025-08-22 08:43:09.703248+00,7,,Map doesn't contain information to answer the question,Multi,Every 'Tower' point within the project location proposed by EQMS is associated with a code in the form 'TT-{NUMBER}'. Which 'Flood Prone Zone' is the tower point labeled 'TT-1/1' located?,Within,I can not match the location between two maps,Not Flood Prone,2
q_0094,203,6-Mar,2025-08-21 19:47:42.551858+00,11,,Can be answered,Single,"In the Fisherman’s Cove / H Resort area, there are four regions categorized as 'Land-birds Feeding Zones'. Identify the one that lies along the shoreline. How many 'Observed Nests' lie within this shoreline zone? Express your answer in form X/Y, where X = number of shoreline nests and Y = total number of observed nests. Do not reduce the fraction.",Within,,6-Mar,2
q_0094,439,6-Jan,2025-08-22 22:53:17.931005+00,4,,Can be answered,Single,"In the Fisherman's Cove / H Resort area, there are four regions categorized as 'Land-birds Feeding Zones'. Identify the one that lies along the shoreline. How many 'Observed Nests' lie within this shoreline zone? Express your answer in form X/Y, where X = number of shoreline nests and Y = total number of observed nests. Do not reduce the fraction.",Within,,6-Mar,2
q_0094,595,6-Mar,2025-08-24 22:35:54.941814+00,3,,Can be answered,Single,"In the Fisherman's Cove / H Resort area, there are four regions categorized as 'Land-birds Feeding Zones'. Identify the one that lies along the shoreline. How many 'Observed Nests' lie within this shoreline zone? Express your answer in form X/Y, where X = number of shoreline nests and Y = total number of observed nests. Do not reduce the fraction.",Within,,6-Mar,2
q_0097,207,South East; South West,2025-08-21 19:56:11.620265+00,11,,Can be answered,Single,"Within the 'Ou Ta Paong – OPT Canal' boundary, identify the two 'Elongated Tortoise' points and the two 'Black Marsh Turtle' points. What is the orientation of the two 'Elongated Tortoise' points in relation to the 'Black Marsh Turtle' points?",Orientation,,South,2
q_0097,317,South,2025-08-22 02:17:58.016306+00,9,,Can be answered,Single,"Within the 'Ou Ta Paong - OPT Canal' boundary, identify the two 'Elongated Tortoise' points and the two 'Black Marsh Turtle' points. What is the orientation of the two 'Elongated Tortoise' points in relation to the 'Black Marsh Turtle' points?",Orientation,,South,2
q_0097,1052,South,2025-08-28 03:41:16.389408+00,10,,Can be answered,Single,"Within the 'Ou Ta Paong - OPT Canal' boundary, identify the two 'Elongated Tortoise' points and the two 'Black Marsh Turtle' points. What is the orientation of the two 'Elongated Tortoise' points in relation to the 'Black Marsh Turtle' points?",Orientation,,South,2
q_0101,217,Food & Drink Sector,2025-08-21 20:02:33.32332+00,11,yes,Can be answered,Multi,"According to Ordnance Survey Ireland, locate the 'Ballymagroarty' point from the 'Remedial Action List of Public Water Supplies (July 2020)'. Which category from the 'Licensed Sites by Sector (September 2020)' is most prevalent in the area containing this point?",Within,,Food & Drink Sector,2
q_0101,318,Food & Drink Sector,2025-08-22 02:32:17.003343+00,9,yes,Can be answered,Multi,"According to Ordnance Survey Ireland, locate the 'Ballymagroarty' point from the 'Remedial Action List of Public Water Supplies (July 2020)'. Which category from the 'Licensed Sites by Sector (September 2020)' is most prevalent in the area containing this point?",Within,,Food & Drink Sector,2
q_0101,1053,Metals Sector,2025-08-28 03:42:30.234593+00,10,yes,Can be answered,Multi,"According to Ordnance Survey Ireland, locate the 'Ballymagroarty' point from the 'Remedial Action List of Public Water Supplies (July 2020)'. Which category from the 'Licensed Sites by Sector (September 2020)' is most prevalent in the area containing this point?",Within,,Food & Drink Sector,2
q_0105,319,South,2025-08-22 02:37:28.937097+00,9,yes,Can be answered,Multi,"Identify the location of the 'NL3' Point receiver situated near the Project Boundary. Then, determine which 'Exit' point is located nearest to this 'NL3' point. What is the orientation of this identified 'Exit' point in relation to the 'Risk Area' point?",Orientation,,South East,2
q_0105,494,South East,2025-08-23 23:47:28.612178+00,11,yes,Can be answered,Multi,"Identify the location of the 'NL3' Point receiver situated near the Project Boundary. Then, determine which 'Exit' point is located nearest to this 'NL3' point. What is the orientation of this identified 'Exit' point in relation to the 'Risk Area' point?",Orientation,,South East,2
q_0105,1054,South East,2025-08-28 03:43:44.055937+00,10,yes,Can be answered,Multi,"Identify the location of the 'NL3' Point receiver situated near the Project Boundary. Then, determine which 'Exit' point is located nearest to this 'NL3' point. What is the orientation of this identified 'Exit' point in relation to the 'Risk Area' point?",Orientation,,South East,2
q_0107,285,North East,2025-08-21 22:55:59.882069+00,5,,Can be answered,Single,"On the Seychelles Water and Sanitation Project Wastewater Treatment Plant site layout, every building door is represented as a quarter-circle region indicating the door's swing (either inward or outward). What is the orientation of the Transformer Building's door relative to the Guardhouse's door?",Orientation,,North East,2
q_0107,497,North East,2025-08-24 04:01:34.293009+00,11,,Can be answered,Single,"On the Seychelles Water and Sanitation Project Wastewater Treatment Plant site layout, every building door is represented as a quarter-circle region indicating the door's swing (either inward or outward). What is the orientation of the Transformer Building's door relative to the Guardhouse's door?",Orientation,,North East,2
q_0107,554,30,2025-08-24 20:21:15.611628+00,6,,Can be answered,Single,"On the Seychelles Water and Sanitation Project Wastewater Treatment Plant site layout, every building door is represented as a quarter-circle region indicating the door's swing (either inward or outward). What is the orientation of the Transformer Building's door relative to the Guardhouse's door?",Orientation,,North East,2
q_0109,320,ASR9,2025-08-22 02:41:36.572264+00,9,yes,Can be answered,Multi,"Each 'Quarries' are labled with a unit code that consists of either a number or a number-alphabet combination. Within the 1000m Area of Influence between Sorbulak Station and Moyiunkum Station, there are 5 Quarries. Identify which of these Quarries touch the Almaty Railway Bypass. Give their unit codes.",Border,,6; 7A; 8; 9,2
q_0109,694,6; 7A; 9; 8,2025-08-25 14:21:15.175908+00,11,yes,Can be answered,Multi,"Each 'Quarries' are labled with a unit code that consists of either a number or a number-alphabet combination. Within the 1000m Area of Influence between Sorbulak Station and Moyiunkum Station, there are 5 Quarries. Identify which of these Quarries touch the Almaty Railway Bypass. Give their unit codes.",Border,,6; 7A; 8; 9,2
q_0109,1055,6; 7A; 9; 8,2025-08-28 03:46:35.798031+00,10,yes,Can be answered,Multi,"Each 'Quarries' are labled with a unit code that consists of either a number or a number-alphabet combination. Within the 1000m Area of Influence between Sorbulak Station and Moyiunkum Station, there are 5 Quarries. Identify which of these Quarries touch the Almaty Railway Bypass. Give their unit codes.",Border,,6; 7A; 8; 9,2
q_0110,599,14,2025-08-24 22:42:18.065875+00,3,,Can be answered,Single,"In the East Coast area of Seychelles, each CADASTRAL parcel is assigned a unique code in the format S#. Based on the map, how many CADASTRAL parcels share a boundary with the Area_Coral region?",Border,,14,2
q_0110,645,,2025-08-25 04:54:26.66415+00,4,,Map doesn't contain information to answer the question,Single,"In the East Coast area of Seychelles, each CADASTRAL parcel is assigned a unique code in the format S#. Based on the map, how many CADASTRAL parcels share a boundary with the Area_Coral region?",Border,Area_Coral parts aren't shaded,14,2
q_0110,695,14,2025-08-25 14:25:25.329689+00,11,,Can be answered,Single,"In the East Coast area of Seychelles, each CADASTRAL parcel is assigned a unique code in the format S#. Based on the map, how many CADASTRAL parcels share a boundary with the Area_Coral region?",Border,,14,2
q_0111,286,"Peat; Jamuna, Karatoya-Bengali and Lakhya floodplain",2025-08-21 23:00:07.266793+00,5,yes,Can be answered,Multi,All Surface Water Sampling locations are associated with a unique code in the format 'SW #'. Which two Soil Categories form the boundary where the two Surface Water Sampling locations lie?,Intersect,,"Jamuna,Karatoya-Bengali and Lakhya floodplain; Madhupur Soils",2
q_0111,555,"Madhupur Soils;  Jamuna,Karatoya-Bengali and Lakhya floodplain",2025-08-24 20:25:19.235898+00,6,yes,Can be answered,Multi,All Surface Water Sampling locations are associated with a unique code in the format 'SW #'. Which two Soil Categories form the boundary where the two Surface Water Sampling locations lie?,Intersect,,"Jamuna,Karatoya-Bengali and Lakhya floodplain; Madhupur Soils",2
q_0111,696,"Madhupur Soils; Jamuna, Karatoya-Bengali and Lakhya floodplain",2025-08-25 14:32:07.268941+00,11,yes,Can be answered,Multi,All Surface Water Sampling locations are associated with a unique code in the format 'SW #'. Which two Soil Categories form the boundary where the two Surface Water Sampling locations lie?,Intersect,,"Jamuna,Karatoya-Bengali and Lakhya floodplain; Madhupur Soils",2
q_0113,321,"Fine, Ruptic Ultic Dystrochrepts",2025-08-22 02:43:27.803409+00,9,yes,Can be answered,Multi,"Areas of the West Imphal District are classified under 6 geomorphology types and 4 soil types. Which soil type contains the area classified as 'Piedmot Slope'? (If the soil type name includes an '&', give only the part that comes after the '&'.)",Within,,"Fine, Ruptic Ultic Dystrochrepts",2
q_0113,698,"Fine, Ruptic Uitic Dystrochrepts; Fine, Fluvaquentic Humaquepts; Fine, Typic Haplaquepts",2025-08-25 14:41:15.478269+00,11,yes,Can be answered,Multi,"Areas of the West Imphal District are classified under 6 geomorphology types and 4 soil types. Which soil type contains the area classified as 'Piedmot Slope'? (If the soil type name includes an '&', give only the part that comes after the '&'.)",Within,,"Fine, Ruptic Ultic Dystrochrepts",2
q_0113,1056,"Fine, Ruptic Ultic Dystrochrepts",2025-08-28 03:48:20.835221+00,10,yes,Can be answered,Multi,"Areas of the West Imphal District are classified under 6 geomorphology types and 4 soil types. Which soil type contains the area classified as 'Piedmot Slope'? (If the soil type name includes an '&', give only the part that comes after the '&'.)",Within,,"Fine, Ruptic Ultic Dystrochrepts",2
q_0115,287,West,2025-08-21 23:00:43.840262+00,5,,Can be answered,Single,"China Square in Singapore is divided into multiple land parcels, each labeled with an alphabet. What is the orientation of 'Parcel B' in relation to 'Parcel D'?",Orientation,,West,2
q_0115,556,South West,2025-08-24 20:26:10.673263+00,6,,Can be answered,Single,"China Square in Singapore is divided into multiple land parcels, each labeled with an alphabet. What is the orientation of 'Parcel B' in relation to 'Parcel D'?",Orientation,,West,2
q_0115,700,West,2025-08-25 14:52:39.914846+00,11,,Can be answered,Single,"China Square in Singapore is divided into multiple land parcels, each labeled with an alphabet. What is the orientation of ‘Parcel B’ in relation to ‘Parcel D’?",Orientation,,West,2
q_0116,93,4,2025-08-21 07:37:44.561409+00,8,,Can be answered,Single,"The Ordnance Survey Ireland divides the country into counties, each labeled with either a number or a number-letter combination. How many 'Decrease' points for Rivers 2013-2018 Phosphate Trends are located within the county labeled '20'?",Within,,4,2
q_0116,701,3,2025-08-25 14:53:59.555151+00,11,,Can be answered,Single,"The Ordnance Survey Ireland divides the country into counties, each labeled with either a number or a number–letter combination. How many 'Decrease' points for Rivers 2013–2018 Phosphate Trends are located within the county labeled '20'?",Within,,4,2
q_0116,733,4,2025-08-25 20:28:37.613945+00,7,,Can be answered,Single,"The Ordnance Survey Ireland divides the country into counties, each labeled with either a number or a number-letter combination. How many 'Decrease' points for Rivers 2013-2018 Phosphate Trends are located within the county labeled '20'?",Within,,4,2
q_0119,288,19; 21; 22,2025-08-21 23:02:32.58748+00,5,,Can be answered,Single,Each 'Critical Location' point in the AIIB Selected Landslide Sites is associated with a two-digit or three-digit number. Identify the 'Critical Location' point numbers within MATARA that are intersected by a Major Road.,Intersect,,19; 21; 22,2
q_0119,557,19; 21; 22,2025-08-24 20:29:48.622641+00,6,,Can be answered,Single,Each 'Critical Location' point in the AIIB Selected Landslide Sites is associated with a two-digit or three-digit number. Identify the 'Critical Location' point numbers within MATARA that are intersected by a Major Road.,Intersect,,19; 21; 22,2
q_0119,704,3,2025-08-25 15:11:43.677475+00,11,,Can be answered,Single,Each 'Critical Location' point in the AIIB Selected Landslide Sites is associated with a two-digit or three-digit number. Identify the 'Critical Location' point numbers within MATARA that are intersected by a Major Road.,Intersect,,19; 21; 22,2
q_0122,602,Ornamental Garden; Hedge Exotic; Mixed Woodland,2025-08-24 22:47:38.838118+00,3,yes,Can be answered,Multi,"The Fisherman's Cove / H Resort area is divided into 9 Vegetation-Habitat regions. Under the Phase 1/3 Demolition, which Vegetation-Habitat regions fall within the demolition boundary?",Within,,Hedge - Exotic; Ornamental Garden; Mixed Woodland,2
q_0122,648,Ornamental Garden; Hedge Exotic; Mixed Woodland,2025-08-25 05:08:55.589482+00,4,yes,Can be answered,Multi,"The Fisherman's Cove / H Resort area is divided into 9 Vegetation-Habitat regions. Under the Phase 1/3 Demolition, which Vegetation-Habitat regions fall within the demolition boundary?",Within,,Hedge - Exotic; Ornamental Garden; Mixed Woodland,2
q_0122,707,Mixed Woodland; Ornamental Garden,2025-08-25 15:24:49.812918+00,11,yes,Can be answered,Multi,"The Fisherman’s Cove / H Resort area is divided into 9 Vegetation–Habitat regions. Under the Phase 1/3 Demolition, which Vegetation–Habitat regions fall within the demolition boundary?",Within,,Hedge - Exotic; Ornamental Garden; Mixed Woodland,2
q_0126,603,North West,2025-08-24 22:48:33.913789+00,3,,Can be answered,Single,Identify the highest and the lowest 'NO2(ug/m3) - 2018' point of the Diffusion tube annual nitrogen dioxide concentrations in Limerick for 2018. What is the orientation of the highest point in relation to the lowest point.,Orientation,,South West,2
q_0126,649,South West,2025-08-25 05:10:39.069743+00,4,,Can be answered,Single,Identify the highest and the lowest 'NO2(ug/m3) - 2018' point of the Diffusion tube annual nitrogen dioxide concentrations in Limerick for 2018. What is the orientation of the highest point in relation to the lowest point.,Orientation,,South West,2
q_0126,711,West,2025-08-25 15:30:23.138289+00,11,,Can be answered,Single,Identify the highest and the lowest 'NO2(ug/m3) - 2018' point of the Diffusion tube annual nitrogen dioxide concentrations in Limerick for 2018. What is the orientation of the highest point in relation to the lowest point.,Orientation,,South West,2
q_0128,96,Fingal County Council,2025-08-21 07:41:32.055795+00,8,yes,Can be answered,Multi,Identify the 'Drogheda' Smoke and SO2 Monitoring Station in Ireland. Which 'COUNCIL' contains the monitoring station in Dublin that is located closest to it? Provide the council name exactly as labeled. Include the word 'Council' in the answer.,Distance,,Fingal County Council,2
q_0128,374,,2025-08-22 09:03:53.794343+00,7,,Map doesn't contain information to answer the question,Multi,Identify the 'Drogheda' Smoke and SO2 Monitoring Station in Ireland. Which 'COUNCIL' contains the monitoring station in Dublin that is located closest to it? Provide the council name exactly as labeled. Include the word 'Council' in the answer.,Distance,I can not match the map to the question....,Fingal County Council,2
q_0128,713,FINGAL COUNTY COUNCIL,2025-08-25 15:37:14.342892+00,11,yes,Can be answered,Multi,Identify the 'Drogheda' Smoke and SO₂ Monitoring Station in Ireland. Which 'COUNCIL' contains the monitoring station in Dublin that is located closest to it? Provide the council name exactly as labeled. Include the word 'Council' in the answer.,Distance,,Fingal County Council,2
q_0133,326,Siamese Tiger Perch,2025-08-22 04:17:32.657852+00,9,no,Can be answered,Multi,Identify the two types of 'Mammal Species at OTP' and the two types of 'Fish Species at OTP'. Which species has the greatest number of points within the 'Out Ta Paong - OPT Canal' boundary? Answer with the specific species name.,Within,,Siamese Tiger Perch,2
q_0133,718,Siamese Tiger Perch,2025-08-25 15:46:16.365311+00,11,yes,Can be answered,Multi,Identify the two types of 'Mammal Species at OTP' and the two types of 'Fish Species at OTP'. Which species has the greatest number of points within the 'Out Ta Paong - OPT Canal' boundary? Answer with the specific species name.,Within,,Siamese Tiger Perch,2
q_0133,1061,Striped catfish,2025-08-28 03:55:15.789845+00,10,yes,Can be answered,Multi,Identify the two types of 'Mammal Species at OTP' and the two types of 'Fish Species at OTP'. Which species has the greatest number of points within the 'Out Ta Paong - OPT Canal' boundary? Answer with the specific species name.,Within,,Siamese Tiger Perch,2
q_0136,98,6; 14; 17,2025-08-21 07:43:37.823106+00,8,,Can be answered,Single,The Ordnance Survey Ireland records each 'Bathing Water Quality Status' with a unique number. What are the numbers of the points classified as having 'Sufficient' Bathing Water Quality Status within the 'Dublin Area'?,Within,,6; 14; 17,2
q_0136,721,6; 15; 17,2025-08-25 15:54:23.854383+00,11,,Can be answered,Single,The Ordnance Survey Ireland records each 'Bathing Water Quality Status' with a unique number. What are the numbers of the points classified as having 'Sufficient' Bathing Water Quality Status within the 'Dublin Area'?,Within,,6; 14; 17,2
