question_ref,annotator_response,std,win_std,expected_value
q_2013,3.0,1.14564392373896,1.14564392373896,1.5
q_2013,1.5,1.14564392373896,1.14564392373896,1.5
q_2027,4.0,0.529150262212918,0.529150262212918,3.2
q_2027,3.0,0.529150262212918,0.529150262212918,3.2
q_2027,3.2,0.529150262212918,0.529150262212918,3.2
q_2029,4.03,0.48671518023035476,0.48671518023035476,3.5
q_2029,3.0,0.48671518023035476,0.48671518023035476,3.5
q_2029,4.0,0.48671518023035476,0.48671518023035476,3.5
q_2029,3.5,0.48671518023035476,0.48671518023035476,3.5
q_3023,5.0,1.0,1.0,3.0
q_3023,4.0,1.0,1.0,3.0
q_3023,3.0,1.0,1.0,3.0
q_3028,4.0,0.505799696849784,0.505799696849784,3.3
q_3028,3.0,0.505799696849784,0.505799696849784,3.3
q_3028,4.0,0.505799696849784,0.505799696849784,3.3
q_3028,3.3,0.505799696849784,0.505799696849784,3.3
q_4002,7.5,0.40414518843273795,0.40414518843273795,7.8
q_4002,7.0,0.40414518843273795,0.40414518843273795,7.8
q_4002,7.8,0.40414518843273795,0.40414518843273795,7.8
q_4014,1.0,0.0,0.0,1.0
q_4014,1.0,0.0,0.0,1.0
q_4014,1.0,0.0,0.0,1.0
q_4014,1.0,0.0,0.0,1.0
q_4021,25000.0,0.0,0.0,25000.0
q_4021,25000.0,0.0,0.0,25000.0
q_4021,25000.0,0.0,0.0,25000.0
q_4021,25000.0,0.0,0.0,25000.0
q_4029,0.7,0.11547005383792512,0.11547005383792512,0.7
q_4029,0.5,0.11547005383792512,0.11547005383792512,0.7
q_4029,0.5,0.11547005383792512,0.11547005383792512,0.7
q_4029,0.7,0.11547005383792512,0.11547005383792512,0.7
q_5009,1500.0,0.0,0.0,1500.0
q_5009,1500.0,0.0,0.0,1500.0
q_5009,1500.0,0.0,0.0,1500.0
q_5009,1500.0,0.0,0.0,1500.0
q_5027,5.0,0.0,0.0,5.0
q_5027,5.0,0.0,0.0,5.0
q_5027,5.0,0.0,0.0,5.0
q_5029,25.0,2.0207259421636903,2.0207259421636903,21.0
q_5029,22.5,2.0207259421636903,2.0207259421636903,21.0
q_5029,21.0,2.0207259421636903,2.0207259421636903,21.0
q_6002,0.2,0.05416025603090639,0.05416025603090639,0.18
q_6002,0.2,0.05416025603090639,0.05416025603090639,0.18
q_6002,0.3,0.05416025603090639,0.05416025603090639,0.18
q_6002,0.18,0.05416025603090639,0.05416025603090639,0.18
q_6004,500.0,81.73942337289475,81.73942337289475,562.0
q_6004,400.0,81.73942337289475,81.73942337289475,562.0
q_6004,562.0,81.73942337289475,81.73942337289475,562.0
q_6019,150.0,75.22189397597839,75.22189397597839,215.0
q_6019,300.0,75.22189397597839,75.22189397597839,215.0
q_6019,215.0,75.22189397597839,75.22189397597839,215.0
q_6023,4.5,1.6462077633154328,1.6462077633154328,4.3
q_6023,4.0,1.6462077633154328,1.6462077633154328,4.3
q_6023,1.0,1.6462077633154328,1.6462077633154328,4.3
q_6023,4.3,1.6462077633154328,1.6462077633154328,4.3
q_6026,0.25,0.08660254037844388,0.08660254037844388,0.25
q_6026,0.4,0.08660254037844388,0.08660254037844388,0.25
q_6026,0.25,0.08660254037844388,0.08660254037844388,0.25
q_7003,1600.0,190.6539185714961,190.6539185714961,1523.0
q_7003,1600.0,190.6539185714961,190.6539185714961,1523.0
q_7003,1200.0,190.6539185714961,190.6539185714961,1523.0
q_7003,1523.0,190.6539185714961,190.6539185714961,1523.0
q_7004,750.0,112.5,112.5,525.0
q_7004,600.0,112.5,112.5,525.0
q_7004,750.0,112.5,112.5,525.0
q_7004,525.0,112.5,112.5,525.0
q_7013,70.0,7.895146188218008,7.895146188218008,76.0
q_7013,60.0,7.895146188218008,7.895146188218008,76.0
q_7013,60.0,7.895146188218008,7.895146188218008,76.0
q_7013,76.0,7.895146188218008,7.895146188218008,76.0
q_7030,6.0,1.5,1.5,6.0
q_7030,6.0,1.5,1.5,6.0
q_7030,9.0,1.5,1.5,6.0
q_7030,6.0,1.5,1.5,6.0
q_8001,2600.0,115.47005383792515,115.47005383792515,2800.0
q_8001,2600.0,115.47005383792515,115.47005383792515,2800.0
q_8001,2800.0,115.47005383792515,115.47005383792515,2800.0
q_8003,1.0,0.14433756729740643,0.14433756729740643,0.75
q_8003,1.0,0.14433756729740643,0.14433756729740643,0.75
q_8003,0.75,0.14433756729740643,0.14433756729740643,0.75
q_8016,1.25,0.11967838846954226,0.11967838846954226,1.375
q_8016,1.5,0.11967838846954226,0.11967838846954226,1.375
q_8016,1.5,0.11967838846954226,0.11967838846954226,1.375
q_8016,1.375,0.11967838846954226,0.11967838846954226,1.375
q_8020,8.0,0.28867513459481287,0.28867513459481287,8.5
q_8020,8.0,0.28867513459481287,0.28867513459481287,8.5
q_8020,8.5,0.28867513459481287,0.28867513459481287,8.5
q_9005,15.0,2.3629078131263044,2.3629078131263044,10.0
q_9005,10.0,2.3629078131263044,2.3629078131263044,10.0
q_9005,12.0,2.3629078131263044,2.3629078131263044,10.0
q_9005,10.0,2.3629078131263044,2.3629078131263044,10.0
q_9022,0.5,0.0,0.0,0.5
q_9022,0.5,0.0,0.0,0.5
q_9022,0.5,0.0,0.0,0.5
q_9022,0.5,0.0,0.0,0.5
