question_ref,annotator_response,mean,median,std,win_std,expected_value
q_4014,1.0,1.0,1.0,0.0,0.0,1.0
q_4014,1.0,1.0,1.0,0.0,0.0,1.0
q_4014,1.0,1.0,1.0,0.0,0.0,1.0
q_4014,1.0,1.0,1.0,0.0,0.0,1.0
q_4021,25000.0,25000.0,25000.0,0.0,0.0,25000.0
q_4021,25000.0,25000.0,25000.0,0.0,0.0,25000.0
q_4021,25000.0,25000.0,25000.0,0.0,0.0,25000.0
q_4021,25000.0,25000.0,25000.0,0.0,0.0,25000.0
q_4029,0.7,0.6,0.6,0.11547005383792512,0.04896158940677103,0.7
q_4029,0.5,0.6,0.6,0.11547005383792512,0.04896158940677103,0.7
q_4029,0.5,0.6,0.6,0.11547005383792512,0.04896158940677103,0.7
q_4029,0.7,0.6,0.6,0.11547005383792512,0.04896158940677103,0.7
q_5009,1500.0,1500.0,1500.0,0.0,0.0,1500.0
q_5009,1500.0,1500.0,1500.0,0.0,0.0,1500.0
q_5009,1500.0,1500.0,1500.0,0.0,0.0,1500.0
q_5009,1500.0,1500.0,1500.0,0.0,0.0,1500.0
q_5027,5.0,5.0,5.0,0.0,0.0,5.0
q_5027,5.0,5.0,5.0,0.0,0.0,5.0
q_5027,5.0,5.0,5.0,0.0,0.0,5.0
q_5029,25.0,22.833333333333332,22.5,2.0207259421636903,0.9248649977986206,21.0
q_5029,22.5,22.833333333333332,22.5,2.0207259421636903,0.9248649977986206,21.0
q_5029,21.0,22.833333333333332,22.5,2.0207259421636903,0.9248649977986206,21.0
q_6002,0.2,0.19333333333333333,0.2,0.011547005383792526,0.023303670012168383,0.18
q_6002,0.2,0.19333333333333333,0.2,0.011547005383792526,0.023303670012168383,0.18
q_6002,0.3,0.19333333333333333,0.2,0.011547005383792526,0.023303670012168383,0.18
q_6002,0.18,0.19333333333333333,0.2,0.011547005383792526,0.023303670012168383,0.18
q_6004,500.0,487.3333333333333,500.0,81.73942337289475,38.906486829114385,562.0
q_6004,400.0,487.3333333333333,500.0,81.73942337289475,38.906486829114385,562.0
q_6004,562.0,487.3333333333333,500.0,81.73942337289475,38.906486829114385,562.0
q_6019,150.0,221.66666666666666,215.0,75.22189397597839,35.612842949085795,215.0
q_6019,300.0,221.66666666666666,215.0,75.22189397597839,35.612842949085795,215.0
q_6019,215.0,221.66666666666666,215.0,75.22189397597839,35.612842949085795,215.0
q_6023,4.5,4.266666666666667,4.3,0.2516611478423583,0.6933026005980333,4.3
q_6023,4.0,4.266666666666667,4.3,0.2516611478423583,0.6933026005980333,4.3
q_6023,1.0,4.266666666666667,4.3,0.2516611478423583,0.6933026005980333,4.3
q_6023,4.3,4.266666666666667,4.3,0.2516611478423583,0.6933026005980333,4.3
q_6026,0.25,0.3,0.25,0.08660254037844388,0.03931342703893349,0.25
q_6026,0.4,0.3,0.25,0.08660254037844388,0.03931342703893349,0.25
q_6026,0.25,0.3,0.25,0.08660254037844388,0.03931342703893349,0.25
q_7003,1600.0,1480.75,1561.5,190.6539185714961,81.3394796540271,1523.0
q_7003,1600.0,1480.75,1561.5,190.6539185714961,81.3394796540271,1523.0
q_7003,1200.0,1480.75,1561.5,190.6539185714961,81.3394796540271,1523.0
q_7003,1523.0,1480.75,1561.5,190.6539185714961,81.3394796540271,1523.0
q_7004,750.0,656.25,675.0,112.5,47.72644872246057,525.0
q_7004,600.0,656.25,675.0,112.5,47.72644872246057,525.0
q_7004,750.0,656.25,675.0,112.5,47.72644872246057,525.0
q_7004,525.0,656.25,675.0,112.5,47.72644872246057,525.0
q_7013,70.0,68.66666666666667,70.0,8.082903768654761,3.509883656659189,76.0
q_7013,60.0,68.66666666666667,70.0,8.082903768654761,3.509883656659189,76.0
q_7013,60.0,68.66666666666667,70.0,8.082903768654761,3.509883656659189,76.0
q_7013,76.0,68.66666666666667,70.0,8.082903768654761,3.509883656659189,76.0
q_7030,6.0,6.75,6.0,1.5,0.644176529299928,6.0
q_7030,6.0,6.75,6.0,1.5,0.644176529299928,6.0
q_7030,9.0,6.75,6.0,1.5,0.644176529299928,6.0
q_7030,6.0,6.75,6.0,1.5,0.644176529299928,6.0
q_8001,2600.0,2666.6666666666665,2600.0,115.47005383792515,55.35599794720494,2800.0
q_8001,2600.0,2666.6666666666665,2600.0,115.47005383792515,55.35599794720494,2800.0
q_8001,2800.0,2666.6666666666665,2600.0,115.47005383792515,55.35599794720494,2800.0
q_8003,1.0,0.9166666666666666,1.0,0.14433756729740643,0.07062805147381826,0.75
q_8003,1.0,0.9166666666666666,1.0,0.14433756729740643,0.07062805147381826,0.75
q_8003,0.75,0.9166666666666666,1.0,0.14433756729740643,0.07062805147381826,0.75
q_8016,1.25,1.40625,1.4375,0.11967838846954226,0.05048716894088205,1.375
q_8016,1.5,1.40625,1.4375,0.11967838846954226,0.05048716894088205,1.375
q_8016,1.5,1.40625,1.4375,0.11967838846954226,0.05048716894088205,1.375
q_8016,1.375,1.40625,1.4375,0.11967838846954226,0.05048716894088205,1.375
q_8020,8.0,8.166666666666666,8.0,0.28867513459481287,0.13253682678749854,8.5
q_8020,8.0,8.166666666666666,8.0,0.28867513459481287,0.13253682678749854,8.5
q_8020,8.5,8.166666666666666,8.0,0.28867513459481287,0.13253682678749854,8.5
q_9005,15.0,10.666666666666666,10.0,1.1547005383792515,1.0345444503353733,10.0
q_9005,10.0,10.666666666666666,10.0,1.1547005383792515,1.0345444503353733,10.0
q_9005,12.0,10.666666666666666,10.0,1.1547005383792515,1.0345444503353733,10.0
q_9005,10.0,10.666666666666666,10.0,1.1547005383792515,1.0345444503353733,10.0
q_9022,0.5,0.5,0.5,0.0,0.0,0.5
q_9022,0.5,0.5,0.5,0.0,0.0,0.5
q_9022,0.5,0.5,0.5,0.0,0.0,0.5
q_9022,0.5,0.5,0.5,0.0,0.0,0.5
